Date,Close
5/28/2014 16:00:00,57.32
5/29/2014 16:00:00,59.31
5/30/2014 16:00:00,59.69
6/2/2014 16:00:00,60.29
6/3/2014 16:00:00,59.65
6/4/2014 16:00:00,60.46
6/5/2014 16:00:00,61.19
6/6/2014 16:00:00,61.45
6/9/2014 16:00:00,60.44
6/10/2014 16:00:00,61.18
6/11/2014 16:00:00,61.43
6/12/2014 16:00:00,60.35
6/13/2014 16:00:00,61.1
6/16/2014 16:00:00,61.47
6/17/2014 16:00:00,63.38
6/18/2014 16:00:00,64.1
6/19/2014 16:00:00,63.06
6/20/2014 16:00:00,62.88
6/23/2014 16:00:00,62.79
6/24/2014 16:00:00,62.34
6/25/2014 16:00:00,63.46
6/26/2014 16:00:00,62.8
6/27/2014 16:00:00,63.15
6/30/2014 16:00:00,62.94
7/1/2014 16:00:00,67.59
7/2/2014 16:00:00,66.68
7/3/2014 16:00:00,67.48
7/7/2014 16:00:00,65.8
7/8/2014 16:00:00,63.58
7/9/2014 16:00:00,63.29
7/10/2014 16:00:00,62.65
7/11/2014 16:00:00,62.85
7/14/2014 16:00:00,64.65
7/15/2014 16:00:00,64.16
7/16/2014 16:00:00,63.49
7/17/2014 16:00:00,62.77
7/18/2014 16:00:00,63.45
7/21/2014 16:00:00,64.56
7/22/2014 16:00:00,61.58
7/23/2014 16:00:00,61.13
7/24/2014 16:00:00,60.77
7/25/2014 16:00:00,60.27
7/28/2014 16:00:00,60.67
7/29/2014 16:00:00,60.61
7/30/2014 16:00:00,62.05
7/31/2014 16:00:00,60.39
8/1/2014 16:00:00,60.77
8/4/2014 16:00:00,60.39
8/5/2014 16:00:00,60.41
8/6/2014 16:00:00,61.47
8/7/2014 16:00:00,64.24
8/8/2014 16:00:00,63.69
8/11/2014 16:00:00,64.51
8/12/2014 16:00:00,63.77
8/13/2014 16:00:00,64.5
8/14/2014 16:00:00,64.41
8/15/2014 16:00:00,65.58
8/18/2014 16:00:00,66.57
8/19/2014 16:00:00,66.88
8/20/2014 16:00:00,67.46
8/21/2014 16:00:00,67.44
8/22/2014 16:00:00,68.46
8/25/2014 16:00:00,68.7
8/26/2014 16:00:00,68.48
8/27/2014 16:00:00,67.81
8/28/2014 16:00:00,67.89
8/29/2014 16:00:00,68.23
9/2/2014 16:00:00,68.09
9/3/2014 16:00:00,68.2
9/4/2014 16:00:00,67.52
9/5/2014 16:00:00,67.95
9/8/2014 16:00:00,68.48
9/9/2014 16:00:00,68.43
9/10/2014 16:00:00,69.2
9/11/2014 16:00:00,68.79
9/12/2014 16:00:00,68.08
9/15/2014 16:00:00,65.39
9/16/2014 16:00:00,65.27
9/17/2014 16:00:00,64.93
9/18/2014 16:00:00,65.57
9/19/2014 16:00:00,65.36
9/22/2014 16:00:00,63.25
9/23/2014 16:00:00,63.41
9/24/2014 16:00:00,64.37
9/25/2014 16:00:00,63.36
9/26/2014 16:00:00,64.11
